model,brier_score,accuracy,auc_roc,rmse,mae
M1,0.01200002774563699,0.9879999999999999,0.9386640713419168,1.3254342409086027e-05,1.425980661308653e-06
M2,0.028472229373671342,0.9715,0.516551832649517,0.00581066690519909,0.00016915552373637582
