algorithm,response,raw_delta_r2,thinned_delta_r2,diff,removed_count
Greedy,log_time_millis,0.001512497266376478,-0.0644893595589624,0.06600185682533888,19
DynamicProgramming,log_time_millis,0.0013184336621676618,-0.007913791573917806,0.009232225236085467,20
DynamicProgramming,log_memory_mb,0.0011644714960080682,-0.0010620891906922836,0.002226560686700352,20
BranchAndBound,log_time_millis,0.21610008799414837,0.2111883148530016,0.004911773141146769,20
BranchAndBound,log_nodes_explored,0.24314899085951625,0.23678345873629203,0.006365532123224216,20
