cv_scheme,algorithm,response,model,pseudo_r_squared_mean,pseudo_r_squared_sd,pseudo_r_squared_ci_lower,pseudo_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,pseudo_r_squared,log_likelihood,aic,bic,rmse,mae
LOFO,Greedy,optimality_gap,M1,0.21360591272866386,0.02520269121749597,0.18231263838605294,0.24489918707127478,0.28372590640741135,0.41070866998361716,-0.22623626286139709,0.7936880756762198,0.25155162097122247,0.41263943240921996,-0.26080790649054136,0.7639111484329864,6000,42,,,,,,
LOFO,Greedy,optimality_gap,M2,0.27192175366371474,0.023325403092516864,0.2429594404001458,0.30088406692728364,0.07989460659884515,0.1363077384271123,-0.08935380488267597,0.24914301808036626,0.036818166472333595,0.06194986300967567,-0.04010274812043577,0.11373908106510297,6000,47,,,,,,
5-fold,Greedy,optimality_gap,M1,0.21639638145473486,0.003325727338165482,0.21226694555109274,0.22052581735837698,0.01858146272677424,0.0008850860327028621,0.017482483264654097,0.019680442188894386,0.007342978309212741,0.00015426577417432895,0.007151432051265445,0.007534524567160038,6000,42,,,,,,
5-fold,Greedy,optimality_gap,M2,0.2735525281365606,0.0031066796773846356,0.2696950758272008,0.2774099804459204,0.012838976844915615,0.0035241023225649017,0.008463225865000508,0.017214727824830724,0.004845451045425952,0.000262085859798869,0.0045200284688754165,0.005170873621976487,6000,47,,,,,,
full_sample,Greedy,optimality_gap,M1,,,,,,,,,,,,,6000,42,0.21554798893053007,-197.72012756914964,481.4402551382993,-51763.51093381738,0.017875676742259042,0.007130779883374354
full_sample,Greedy,optimality_gap,M2,,,,,,,,,,,,,6000,47,0.27306489446059423,-183.22306498493515,462.4461299698703,-51749.00748524476,0.011544840396690459,0.004640752604753533
