predictor,VIF
total_weight,11055495043.414585
total_value,359340.34529899317
mean_weight,678.0236579269126
mean_value,697.7290455689465
median_weight,11.646849177417664
median_value,10.418326287946787
std_weight,109.37655369950596
std_value,112.5403008957898
min_weight,9.56717274251764
max_weight,5.064791267114826
min_value,5.8814248076658835
max_value,7.841428179794196
weight_cv,234.47104121504276
value_cv,234.20488462450962
weight_skewness,9.961640299544582
value_skewness,9.00396487039322
weight_kurtosis,8.32641317179634
value_kurtosis,7.952979384061413
capacity_ratio,1993407.8265820951
slack,56700805.8446013
average_fillable_items,24786045203.168404
pearson_corr,2252.0092667181684
spearman_corr,591.9875301207254
kendall_corr,172.7376725932267
mean_ratio,13.058544762081223
median_ratio,6.11647578702059
std_ratio,13.095822700841861
ratio_entropy,7.90925806662972
unique_ratio_count,199506.0438802656
duplicate_ratio_fraction,686.3715058046157
unique_weights,3625.2766516638094
unique_values,3578.2410081188536
unique_pairs,21549.859435396887
duplicate_items,47276.39379046579
duplicate_pairs,46991.024554817704
n,127.58489574876596
log_n,10582860134.437056
cap_mode,169230.35618150776
WeaklyCorrelated,141.50067604911
StronglyCorrelated,635.086520917837
InverseCorrelated,657.1179265103852
AlmostEqualRatios,217.7353618960915
total_evaluations,16849.649852755818
exclude_count,7964.420146184748
tie_count,3.7012839750044417
include_ratio,454.9585224397474
fill_rate,5.996040010649805
mean_cell_value,16.542993432784378
dp_sum_improvement_amount,87386602259.9613
dp_mean_improvement_amount,5257013819.997217
updates_per_cell,12522591125.99474
