predictor,se_standard,se_robust,ratio_std_robust
const,199.01675857521082,199.01675857521082,1.0
total_weight,644.1416036960604,644.1416036960604,1.0
total_value,53.74735269847373,53.74735269847373,1.0
mean_weight,0.07523218702017892,0.07523218702017892,1.0
mean_value,0.07700728453859437,0.07700728453859437,1.0
median_weight,0.008270321199339218,0.008270321199339218,1.0
median_value,0.007874295066630527,0.007874295066630527,1.0
std_weight,0.09524620133831657,0.09524620133831657,1.0
std_value,0.09694309639564416,0.09694309639564416,1.0
min_weight,0.01173366716397412,0.01173366716397412,1.0
max_weight,0.009935938933206752,0.009935938933206752,1.0
min_value,0.011301796204791855,0.011301796204791855,1.0
max_value,0.007994527485227897,0.007994527485227897,1.0
weight_cv,44.53702856459449,44.53702856459449,1.0
value_cv,45.140707051518994,45.140707051518994,1.0
weight_skewness,2.63293403200158,2.63293403200158,1.0
value_skewness,2.635469131812876,2.635469131812876,1.0
weight_kurtosis,1.756228388204779,1.756228388204779,1.0
value_kurtosis,1.737971832267283,1.737971832267283,1.0
capacity_ratio,708.1371099640232,708.1371099640232,1.0
slack,635.8900186506185,635.8900186506185,1.0
average_fillable_items,1.862564843083018,1.862564843083018,1.0
pearson_corr,1.5144780363950106,1.5144780363950106,1.0
spearman_corr,0.7491923455759624,0.7491923455759624,1.0
kendall_corr,0.42954833486901317,0.42954833486901317,1.0
mean_ratio,0.3689297196320569,0.3689297196320569,1.0
median_ratio,3.267041981113118,3.267041981113118,1.0
std_ratio,0.06047983439079596,0.06047983439079596,1.0
ratio_entropy,0.3480337331228371,0.3480337331228371,1.0
unique_ratio_count,463.572846297744,463.572846297744,1.0
duplicate_ratio_fraction,481.49694602193625,481.49694602193625,1.0
unique_weights,7.21597684151598,7.21597684151598,1.0
unique_values,7.0686930214445205,7.0686930214445205,1.0
unique_pairs,41.60505740754586,41.60505740754586,1.0
duplicate_items,8.55420300773455,8.55420300773455,1.0
duplicate_pairs,8.554383319533512,8.554383319533512,1.0
n,0.006250193427029183,0.006250193427029183,1.0
log_n,452.6505713242715,452.6505713242715,1.0
cap_mode,92.77120432979943,92.77120432979943,1.0
WeaklyCorrelated,3.3131986441149883,3.3131986441149883,1.0
StronglyCorrelated,6.953634141045253,6.953634141045253,1.0
InverseCorrelated,14440.227528013656,14440.227528013656,1.0
AlmostEqualRatios,4.132087163905578,4.132087163905578,1.0
selected_count,0.14882056506710403,0.14882056506710403,1.0
residual_capacity,0.0028537870419098037,0.0028537870419098037,1.0
capacity_utilization,4.035167633929729,4.035167633929729,1.0
last_selected_position,0.0026409731831920163,0.0026409731831920163,1.0
first_skipped_position,0.1481090816576425,0.1481090816576425,1.0
