predictor,se_standard,se_robust,ratio_std_robust
const,205.16412137464286,205.16412137464286,1.0
total_weight,671.4983353978694,671.4983353978694,1.0
total_value,60.42549623947628,60.42549623947628,1.0
mean_weight,0.08521039969564885,0.08521039969564885,1.0
mean_value,0.08746500664916929,0.08746500664916929,1.0
median_weight,0.0081384685467849,0.0081384685467849,1.0
median_value,0.007699849024886772,0.007699849024886772,1.0
std_weight,0.09802820393801205,0.09802820393801205,1.0
std_value,0.09955224033630287,0.09955224033630287,1.0
min_weight,0.011362621954700895,0.011362621954700895,1.0
max_weight,0.009533545454117824,0.009533545454117824,1.0
min_value,0.011211339128737717,0.011211339128737717,1.0
max_value,0.007561022519563245,0.007561022519563245,1.0
weight_cv,47.10770104249707,47.10770104249707,1.0
value_cv,47.62124476375544,47.62124476375544,1.0
weight_skewness,2.6368321879970655,2.6368321879970655,1.0
value_skewness,2.6040480319160877,2.6040480319160877,1.0
weight_kurtosis,1.6633942469756344,1.6633942469756344,1.0
value_kurtosis,1.6552419383479267,1.6552419383479267,1.0
capacity_ratio,733.4768265288408,733.4768265288408,1.0
slack,660.9680572761284,660.9680572761284,1.0
average_fillable_items,1.5160578517319265,1.5160578517319265,1.0
pearson_corr,1.4820389703654222,1.4820389703654222,1.0
spearman_corr,0.7041583443473111,0.7041583443473111,1.0
kendall_corr,0.39728390017410625,0.39728390017410625,1.0
mean_ratio,0.3772171353506224,0.3772171353506224,1.0
median_ratio,3.270395101747055,3.270395101747055,1.0
std_ratio,0.06149603937247758,0.06149603937247758,1.0
ratio_entropy,0.3363549739556933,0.3363549739556933,1.0
unique_ratio_count,439.87283387222425,439.87283387222425,1.0
duplicate_ratio_fraction,456.70913993857044,456.70913993857044,1.0
unique_weights,7.035658522724273,7.035658522724273,1.0
unique_values,6.8009466461688355,6.8009466461688355,1.0
unique_pairs,43.10021281433832,43.10021281433832,1.0
duplicate_items,8.158788916626568,8.158788916626568,1.0
duplicate_pairs,8.15969488685773,8.15969488685773,1.0
n,0.005604824295477876,0.005604824295477876,1.0
log_n,423.8461221853225,423.8461221853225,1.0
cap_mode,97.20884749303973,97.20884749303973,1.0
WeaklyCorrelated,3.2115237410480986,3.2115237410480986,1.0
StronglyCorrelated,6.799722864694554,6.799722864694554,1.0
InverseCorrelated,15274.376133529826,15274.376133529826,1.0
AlmostEqualRatios,3.985201146590792,3.985201146590792,1.0
