cv_scheme,algorithm,response,model,pseudo_r_squared_mean,pseudo_r_squared_sd,pseudo_r_squared_ci_lower,pseudo_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,pseudo_r_squared,log_likelihood,aic,bic,rmse,mae
LOFO,DP,fill_rate,M1,0.25321169196650645,0.0011139803406135828,0.2518285026828598,0.2545948812501531,0.057798096881729745,0.09652550498932824,-0.06205414757195694,0.17765034133541643,0.020873148922094124,0.032226573997417796,-0.019141427795949115,0.06088772564013736,6000,42,,,,,,
LOFO,DP,fill_rate,M2,0.269792626252013,0.002714051044021535,0.2664226867813641,0.2731625657226619,0.0011844827505355963,0.0014816999455908053,-0.0006552907280449828,0.003024256229116175,0.0004464021589337189,0.0006453666109087368,-0.0003549263274744362,0.001247730645341874,6000,51,,,,,,
5-fold,DP,fill_rate,M1,0.2527661931372678,0.002409614990939216,0.24977426095348645,0.2557581253210491,0.007633175953417649,0.0024456829005438502,0.004596459544789794,0.010669892362045505,0.0024988701845846785,9.990505467495699e-05,0.002374821674956206,0.002622918694213151,6000,42,,,,,,
5-fold,DP,fill_rate,M2,0.26983580974467686,0.0023884744865365916,0.26687012696411616,0.27280149252523755,0.0003885517096761124,0.00022985402095972474,0.00010315024700804882,0.000673953172344176,6.710110564269954e-05,9.951428892959888e-06,5.474477465562651e-05,7.945743662977258e-05,6000,51,,,,,,
full_sample,DP,fill_rate,M1,,,,,,,,,,,,,6000,42,0.252614501424246,-176.8275730931484,439.6551461862968,-51814.84320421753,0.006255183417846756,0.0023689884703004377
full_sample,DP,fill_rate,M2,,,,,,,,,,,,,6000,51,0.26984867617056063,-172.75005580058462,449.50011160116924,-51744.70260606876,0.00032418687266293504,5.985948423234079e-05
