algorithm,response,status,delta_r2_adj,f_stat,f_p_value,delta_df,cohen_f2,delta_r2_ci_lower,delta_r2_ci_upper,bt_rmse_m1,bt_rmse_m2,smearing_phi_m1_pooled,smearing_phi_m2_pooled
Greedy,log_time_millis,confirmatory,0.00140371855049215,12.75224165358684,2.3622215294949456e-12,5,0.010712568593402838,0.0007408473347823241,0.0018655619705920665,0.05255821740385756,0.05324831088117499,1.3635733674438524,1.3658476286275087
DP,log_time_millis,confirmatory,0.001292432133438215,37.61573008012351,0.0,10,0.06325160598641882,0.0004694953769895094,0.0011133653249260466,2.7346421565066654,3.140260821274099,1.0700886902398088,1.0663587120742455
DP,log_memory_mb,exploratory,-0.00032628264939582596,0.782327936285822,0.6328581841611957,9,0.0011837510804594113,-0.007645737774104688,0.0022621521938584683,0.20653130711622975,0.20831984980894772,1.1283786283948614,1.129535431041668
BandB,log_time_millis,confirmatory,0.21746623222052464,1381.9513461356107,0.0,24,5.590229615246031,0.045906981407257644,0.19515797236583704,2416.7188300226353,12663.664744701353,8.472853689617999,7.387401625950926
BandB,log_nodes_explored,supplementary,0.24478687745806038,3203.2411664764345,0.0,22,11.873850996205846,0.020192965782478582,0.2311259217342319,15584278.576057788,72651729.1628307,7.758410339267789,8.799469766627599
