predictor,VIF
total_weight,51339224.78653892
total_value,357807.7725726283
mean_weight,667.3799858415277
mean_value,696.2857448291077
median_weight,11.565629817755267
median_value,10.332817834844679
std_weight,109.11710763924061
std_value,112.09335121024532
min_weight,6.015096961728988
max_weight,4.854166777487565
min_value,5.819234730665158
max_value,7.947224618896052
weight_cv,234.33883261523866
value_cv,233.63676139928705
weight_skewness,9.67998544725859
value_skewness,8.89200423655674
weight_kurtosis,8.249794097238489
value_kurtosis,7.9644604889112145
capacity_ratio,1919793.4659497433
slack,54452658.06273041
average_fillable_items,484.0696970401831
pearson_corr,2211.7225951824585
spearman_corr,514.9107104217635
kendall_corr,146.66503630600613
mean_ratio,12.987730045778571
median_ratio,6.091166406059942
std_ratio,13.023701294447429
ratio_entropy,7.66169706208518
unique_ratio_count,188534.2486670564
duplicate_ratio_fraction,652.8907027582795
unique_weights,3621.009183312805
unique_values,3540.602477933425
unique_pairs,18272.34484175852
duplicate_items,47278.07939893018
duplicate_pairs,46991.07297608939
n,139.13304617098044
log_n,449651.3498455111
cap_mode,158963.1799072469
WeaklyCorrelated,141.17462317315776
StronglyCorrelated,632.8480139435187
InverseCorrelated,649.8541363137006
AlmostEqualRatios,217.74581686741757
selected_count,19182.415033922352
residual_capacity,2.0703703298299296
capacity_utilization,2.2535913997864725
last_selected_position,6.472924036574919
first_skipped_position,18871.274221864496
