algorithm,response,status,delta_pseudo_r2,aic_m1,aic_m2,bic_m1,bic_m2,cohen_f2,delta_pseudo_r2_ci_lower,delta_pseudo_r2_ci_upper
Greedy,optimality_gap,confirmatory,0.057516905530064166,481.4402551382993,462.4461299698703,-51763.51093381738,-51749.00748524476,0.07912247612169596,0.050452981192946326,0.06181051497056562
DP,fill_rate,supplementary,0.017234174746314612,439.6551461862968,449.50011160116924,-51814.84320421753,-51744.70260606876,0.0236035657046079,0.01547840406244579,0.01796023941062374
