cv_scheme,algorithm,response,model,r_squared_mean,r_squared_sd,r_squared_ci_lower,r_squared_ci_upper,adj_r_squared_mean,adj_r_squared_sd,adj_r_squared_ci_lower,adj_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,r_squared,adj_r_squared,rmse,mae
LOFO,DP,log_time_millis,M1,0.630482671870096,0.5062901332642747,0.0018404407500600684,1.259124902990132,0.6272201686576814,0.5107602164253215,-0.006972403792403159,1.2614127411077658,1.1344563546777715,1.0052260463199878,-0.11369663709446676,2.3826093464500095,0.9315309672562504,0.9605353661484122,-0.2611312158917036,2.1241931504042046,6000,42,,,,
LOFO,DP,log_time_millis,M2,0.8102318960985674,0.26242441846300785,0.48438894344349137,1.1360748487536434,0.8081531218405361,0.2652990908371549,0.47874079199185077,1.1375654516892215,0.8810933673489414,0.6369358687979546,0.09023302989788495,1.6719537047999977,0.6517821312680905,0.41844565886526697,0.13221322145043468,1.1713510410857464,6000,52,,,,
5-fold,DP,log_time_millis,M1,0.9774358928016037,0.0014097289241431215,0.9756854831492686,0.9791863024539388,0.9772366721788723,0.0014221755532820783,0.9754708079952364,0.9790025363625082,0.3615319757097001,0.010743248977901312,0.34819247023010064,0.3748714811892995,0.2735463194671416,0.005024885194253963,0.2673071004263293,0.27978553850795385,6000,42,,,,
5-fold,DP,log_time_millis,M2,0.9786821600308591,0.0014080583533602259,0.9769338246661216,0.9804304953955966,0.978448638295364,0.0014234826285602997,0.9766811511634123,0.9802161254273157,0.35141486839975683,0.012055540202507202,0.3364459381514055,0.36638379864810816,0.26806167080099486,0.005317841617906265,0.26145869831589097,0.27466464328609874,6000,52,,,,
full_sample,DP,log_time_millis,M1,,,,,,,,,,,,,,,,,6000,42,0.9778372946137159,0.9776810358213333,0.35851397796128626,0.2711610879607478
full_sample,DP,log_time_millis,M2,,,,,,,,,,,,,,,,,6000,52,0.9791557282758836,0.9789734679547715,0.3476866929392307,0.26528069935010595
