algorithm,var_a,var_b,correlation
BranchAndBound,n,min_value,-0.3427677389982856
BranchAndBound,n,max_value,0.36110505329135956
BranchAndBound,n,weight_cv,0.040061122745695746
BranchAndBound,n,value_cv,0.028747029914918863
BranchAndBound,n,weight_skewness,-0.0015925608719249366
BranchAndBound,n,value_skewness,-0.001319490303154483
BranchAndBound,n,weight_kurtosis,-0.16142657521221396
BranchAndBound,n,value_kurtosis,-0.14028979064888197
BranchAndBound,n,capacity_ratio,-0.044109970018616045
BranchAndBound,n,slack,0.8628170353211042
BranchAndBound,n,average_fillable_items,0.2910807936705485
BranchAndBound,n,pearson_corr,-0.0014806412176522888
BranchAndBound,n,spearman_corr,0.02021513501742397
BranchAndBound,n,kendall_corr,-0.013995993858123555
BranchAndBound,n,mean_ratio,-0.008387792585048612
BranchAndBound,n,median_ratio,-0.039027040856607756
BranchAndBound,n,std_ratio,0.09468557742849455
BranchAndBound,n,ratio_entropy,-0.27576785682494376
BranchAndBound,n,unique_ratio_count,0.8838880665049031
BranchAndBound,n,duplicate_ratio_fraction,0.5326005271592931
BranchAndBound,n,unique_weights,0.8646752389731782
BranchAndBound,n,unique_values,0.865304217477955
BranchAndBound,n,unique_pairs,0.8850652713584389
BranchAndBound,n,duplicate_items,0.5810631153912573
BranchAndBound,n,duplicate_pairs,0.5797359352291738
BranchAndBound,n,time_millis,0.31573705399264906
BranchAndBound,n,memory_bytes,0.19224826785697946
BranchAndBound,n,memory_mb,0.19224837848881315
BranchAndBound,n,solution_value,0.6035502265733642
BranchAndBound,n,optimal_value,0.6035502265733642
BranchAndBound,n,nodes_explored,0.3285943835865302
BranchAndBound,n,nodes_pruned,0.08607162683843801
BranchAndBound,n,max_queue_size,0.19407673131139794
BranchAndBound,n,optimal,-0.2972478625997418
BranchAndBound,n,nodes_generated,0.5616596914380786
BranchAndBound,n,internal_nodes,0.5488173282385111
BranchAndBound,n,max_depth,0.8839838467212954
BranchAndBound,n,mean_depth,0.802517869941855
BranchAndBound,n,median_depth,0.7891091328097437
BranchAndBound,n,mean_queue_size,0.5238424409305786
BranchAndBound,n,final_queue_size,0.2960291830921995
BranchAndBound,n,mean_bound,0.6035615760252301
BranchAndBound,n,bound_variance,-0.22239606767523634
BranchAndBound,n,min_bound,0.6039189396847712
BranchAndBound,n,max_bound,0.6035654003308277
BranchAndBound,n,mean_bound_gap,0.035752738424907594
BranchAndBound,n,bound_gap_variance,0.1395407949541485
BranchAndBound,n,pruned_by_bound,-0.008608492444722777
BranchAndBound,n,pruned_by_cap,0.2965633174851107
BranchAndBound,n,left_branches,0.49786911184520866
BranchAndBound,n,right_branches,0.5541609072697932
BranchAndBound,n,explored_children,0.5587811853328539
BranchAndBound,n,skipped_children,0.4987934062611494
BranchAndBound,n,skipped_infeasible,0.4320011522365736
BranchAndBound,n,skipped_by_bound,0.1451444229955286
BranchAndBound,n,improvement_count,0.6251010440301401
BranchAndBound,n,sum_improvement_amount,0.4055079217651668
BranchAndBound,n,mean_improvement_amount,-0.0009327061870073836
BranchAndBound,n,last_improvement_node,0.21266205918113107
BranchAndBound,n,pruned_generated_ratio,0.016879690462347455
BranchAndBound,n,avg_branching_factor,0.24755455041125446
BranchAndBound,n,capacity_density,-0.0432858496869316
BranchAndBound,n,cells_allocated,0.29196029722198624
BranchAndBound,n,total_evaluations,0.5947140046832406
BranchAndBound,n,include_count,0.44189446856810144
BranchAndBound,n,exclude_count,0.6613214454964221
BranchAndBound,n,tie_count,0.4065330482464084
BranchAndBound,n,include_ratio,-0.2439949198131573
BranchAndBound,n,nonzero_value_states,0.29382578115766245
BranchAndBound,n,zero_value_states,-0.643105221336301
BranchAndBound,n,fill_rate,0.2869059724609394
BranchAndBound,n,mean_cell_value,0.5644852430486531
BranchAndBound,n,cell_value_variance,0.6123460428847854
BranchAndBound,n,dp_sum_improvement_amount,0.3573162366331343
BranchAndBound,n,dp_mean_improvement_amount,-0.13636522939877888
BranchAndBound,n,updates_per_cell,0.6215096855615566
BranchAndBound,n,selected_count,0.6292028770660152
BranchAndBound,n,solution_density,-0.11219414461562387
BranchAndBound,n,residual_capacity,-0.1454292020747417
BranchAndBound,n,capacity_utilization,0.3141207925966709
BranchAndBound,n,last_selected_position,0.7353886846197251
BranchAndBound,n,first_skipped_position,0.6275327224500529
BranchAndBound,n,solution_gap,0.12295911764055757
BranchAndBound,n,log_time_millis,0.6217227619399146
BranchAndBound,n,log_nodes_explored,0.5597289948878937
BranchAndBound,n,AlmostEqualRatios,8.053756320281227e-17
BranchAndBound,n,InverseCorrelated,-1.5669957118917312e-16
BranchAndBound,n,StronglyCorrelated,2.2923807251191e-16
BranchAndBound,n,WeaklyCorrelated,1.9860918599674881e-16
BranchAndBound,n,log_n,0.8926327822256555
BranchAndBound,total_weight,total_value,0.998116559380473
BranchAndBound,total_weight,mean_weight,0.04766172271548054
BranchAndBound,total_weight,mean_value,0.029099404748338806
BranchAndBound,total_weight,median_weight,0.044885534174080435
BranchAndBound,total_weight,median_value,0.044656191553243005
BranchAndBound,total_weight,std_weight,0.17334810904861853
BranchAndBound,total_weight,std_value,0.16291829576158431
BranchAndBound,total_weight,min_weight,-0.5290094110304987
BranchAndBound,total_weight,max_weight,0.5554467627739182
BranchAndBound,total_weight,min_value,-0.49290047659043096
BranchAndBound,total_weight,max_value,0.48883175720656513
BranchAndBound,total_weight,weight_cv,0.015010387422292099
BranchAndBound,total_weight,value_cv,0.021328913819404664
BranchAndBound,total_weight,weight_skewness,-0.03820921552434654
BranchAndBound,total_weight,value_skewness,-0.01670545050048542
BranchAndBound,total_weight,weight_kurtosis,-0.2355494027457473
BranchAndBound,total_weight,value_kurtosis,-0.2035421060791444
BranchAndBound,total_weight,capacity_ratio,-0.06464995258460317
BranchAndBound,total_weight,slack,0.9709711695619664
BranchAndBound,total_weight,average_fillable_items,0.3245400227975114
BranchAndBound,total_weight,pearson_corr,-0.002922527439338865
BranchAndBound,total_weight,spearman_corr,0.02422182591061744
BranchAndBound,total_weight,kendall_corr,-0.024414117894485263
BranchAndBound,total_weight,mean_ratio,-0.019749010170124228
BranchAndBound,total_weight,median_ratio,-0.07172851507661282
BranchAndBound,total_weight,std_ratio,0.10221902539401054
BranchAndBound,total_weight,ratio_entropy,-0.319239031582103
BranchAndBound,total_weight,unique_ratio_count,0.9964773125106209
BranchAndBound,total_weight,duplicate_ratio_fraction,0.4946982533863984
BranchAndBound,total_weight,unique_weights,0.9966048687475926
BranchAndBound,total_weight,unique_values,0.9967256197705915
BranchAndBound,total_weight,unique_pairs,0.996254520585926
