predictor,coefficient,se,t_stat,p_value,ci_lower,ci_upper,abs_coefficient
slack,-18.709950362876413,13.881135549139715,-1.3478688610627363,0.1777520089366621,-45.92202562703562,8.502124901282798,18.709950362876413
total_weight,18.501475474562525,13.47796628810177,1.372720118086025,0.1698912391975238,-7.920241375710294,44.92319232483534,18.501475474562525
capacity_ratio,-3.561667816771932,2.6077308999850684,-1.3658111029755124,0.1720500150333059,-8.673769003872952,1.5504333703290882,3.561667816771932
unique_ratio_count,1.565798118835211,0.8398697204074497,1.864334528068935,0.0623240712835896,-0.0806520554253729,3.212248293095795,1.565798118835211
unique_pairs,-0.9997447422917808,0.2732696832694478,-3.6584546457208655,0.0002559411604732,-1.5354527297411231,-0.4640367548424381,0.9997447422917808
log_n,-0.9946271232558068,1.2624987506870922,-0.7878242435602403,0.4308309805398665,-3.4695839380628843,1.4803296915512707,0.9946271232558068
cap_mode,-0.9747677729582492,0.7489833209817052,-1.3014545793631354,0.1931534182552326,-2.4430475422900324,0.4935119963735337,0.9747677729582492
final_queue_size,-0.5112755458132008,0.1495280314601406,-3.419262200007564,0.0006321391724865,-0.8044048817951615,-0.2181462098312401,0.5112755458132008
pruned_by_cap,0.4917552448913023,0.1477005866057595,3.329406173611816,0.0008756202715286,0.2022083655997528,0.7813021241828517,0.4917552448913023
bound_gap_variance,-0.4194898403890031,0.019005279001344,-22.072280041736708,7.97005921308191e-104,-0.4567471008465577,-0.3822325799314486,0.4194898403890031
sum_improvement_amount,0.4088222584226245,0.0234795794840254,17.411821991989722,2.9100094674492026e-66,0.3627937413875246,0.4548507754577244,0.4088222584226245
right_branches,0.3749504738139082,0.1242522366276093,3.01765572991378,0.0025581909352667,0.1313708903654796,0.6185300572623368,0.3749504738139082
total_value,-0.180958976056988,1.1122629412041931,-0.1626944217534322,0.8707645781349026,-2.3613989524866827,1.9994810003727064,0.180958976056988
spearman_corr,0.1633048992945608,0.0441342074036692,3.700188785558295,0.000217389014975,0.0767857979327784,0.2498240006563432,0.1633048992945608
left_branches,0.1475541773805419,0.0229174902575805,6.438496350259599,1.3012511924178084e-10,0.1026275597023819,0.192480795058702,0.1475541773805419
kendall_corr,-0.1325634681313692,0.0233373740041847,-5.680307823305178,1.4083429500659366e-08,-0.1783132106954107,-0.0868137255673277,0.1325634681313692
unique_values,0.128636381945754,0.1108692619384886,1.160252893332353,0.2459925271269944,-0.0887077027418213,0.3459804666333294,0.128636381945754
duplicate_items,0.1275482434005683,0.4044341981863598,0.3153745256275169,0.7524883944116431,-0.6652899074471964,0.9203863942483332,0.1275482434005683
duplicate_pairs,-0.1247428611506007,0.4032334035591433,-0.3093564671219118,0.7570612412051332,-0.9152270177118796,0.6657412954106781,0.1247428611506007
skipped_children,0.1175008917796023,0.0280283697953254,4.192212841404676,2.802630539182775e-05,0.0625550910054465,0.1724466925537582,0.1175008917796023
