instance_id,depth_p10,depth_p50,depth_p90,depth_entropy,depth_skew,queue_entropy
1712,23,100,180,7.582181590398341,0.04271624234139715,0.10532217181638959
1713,29,103,180,7.564427638226134,0.04695060404947049,0.06793777360773753
1714,28,99,179,7.570324291778883,0.09209158348066071,1.0664801757128537
1715,20,96,179,7.561172822034492,0.09212761414389792,1.086637617815209
1716,20,93,178,7.559288374274519,0.13875582564951394,0.17235124357069131
1717,14,49,169,7.300002929876074,0.630075564921277,0.37646189046875067
1718,2,11,17,4.3446983751597115,-0.04667981646979752,0.998363672593813
1719,2,12,18,4.345175521464347,-0.10752052001071785,0.99498482818597
1720,18,96,179,7.519056030997681,0.09570113544057746,0.8494385349218058
1721,5,20,28,4.757586098251952,-0.2952133787038281,0.7219280948873623
1722,13,74,174,7.4569677950022815,0.3312432134110873,0.4285747767228011
1723,16,87,177,7.540215842469104,0.19596731988058824,1.087330948456165
1724,28,101,180,7.5477978600387425,0.07130161627366882,1.2048522756870306
1725,2,11,19,4.487555518016854,0.09461667081048925,0.998363672593813
1726,22,94,178,7.578068895187147,0.1399120205667722,0.12613288815550738
1727,16,88,177,7.48930321992463,0.17019291174357087,0.20841982642087006
1728,20,94,178,7.53193828826335,0.1325073504153047,0.9684771609465214
1729,21,96,179,7.552212795304448,0.09732087171849468,0.8248573652791555
1730,23,96,179,7.514779081646461,0.12369779194502328,1.0487173855536462
1731,12,58,171,7.392269981872207,0.5217727744537388,0.39416014843343566
1732,31,105,181,7.542034301949942,0.01804286050231685,0.7085882132262514
1733,13,42,167,7.131845698406998,0.7098225028175389,0.3604357295046896
1734,29,103,180,7.559395858686123,0.04859398509919344,1.0324542920436228
1735,11,88,177,7.575212064914749,0.14259696303259495,0.46330931881705467
1736,30,104,180,7.589949405380534,0.01642886305768443,0.10870787650044482
1737,28,101,180,7.535190531461882,0.08176745657176987,0.9915780118805626
1738,26,100,180,7.58696774444122,0.05728378551182156,0.5627192477169682
1739,25,101,180,7.572271332655629,0.05697681052835013,0.6969792297976172
1740,21,97,179,7.536523911810613,0.1006096720813795,1.5030060509263214
1741,18,94,178,7.576193123875382,0.11094593641529427,0.173781322679433
1742,23,95,179,7.569063785752303,0.13001873894590887,1.4874510864345551
1743,22,99,179,7.576948162711796,0.053645424440006084,0.11658143161011904
1744,27,100,180,7.547508104759937,0.08009767999867301,0.10500149581279872
1745,28,104,180,7.548101966729328,0.012966716518920451,0.9276879609742247
1746,32,106,181,7.522814088474763,0.029310440211962385,1.3103394876147894
1747,18,85,177,7.5287308260023424,0.22646985205172965,0.6847863191484299
1748,2,9,16,4.214997302659253,0.024460735142974005,0.9517626756348312
1749,20,90,178,7.583623396384238,0.15585318554693905,0.2873660131246555
1750,23,91,178,7.514467692917755,0.1923486461535966,1.0176097964452333
1751,16,74,174,7.446762642727988,0.3749852429028058,1.0292235966105752
1752,21,95,179,7.607017670718419,0.09526431924928602,0.21929730813217538
1753,27,101,180,7.572036611699864,0.0655196673445565,1.0381674929295015
1754,24,97,179,7.529058254203347,0.11784447759152628,1.2641447236319232
1755,16,90,178,7.547728093500365,0.14828058319788018,0.91408634024
1756,26,102,180,7.537716481332898,0.05739476185187464,1.0572473445193031
1757,20,91,178,7.617430556114075,0.15233165697232232,0.288833296928616
1758,16,88,177,7.611896838134097,0.17757128377913922,0.2835327063220604
1759,24,98,179,7.569459431056515,0.08309886557060708,1.0269670650755554
1760,25,101,180,7.57367205136019,0.04813334873697883,0.807991193989581
1761,20,90,178,7.5103985373263535,0.18974416462846855,0.12251486864433363
1762,27,100,180,7.5829096418528055,0.0698063244452447,0.04548423062965021
1763,25,99,179,7.5333107835053115,0.08385338757878513,0.985131889558965
1764,17,93,178,7.594226048586852,0.1158293532340342,0.9893266812375566
1765,19,94,178,7.5890419914044625,0.10563478477070676,0.21770473560643877
1766,2,12,20,4.5275690110927505,-0.10407392864403159,0.99498482818597
1767,2,8,14,4.08746284125034,-0.04115624086235817,0.9366673818775625
1768,24,100,180,7.584476378478462,0.041808480292778616,1.008994397975141
1769,17,93,178,7.554323911038846,0.11549946528115096,0.5183853686312357
1770,21,98,179,7.610338388607663,0.0467317643973989,0.22451466426355626
1771,4,17,21,4.376644085533828,-0.6286440928422024,0.8930108100446013
1772,19,96,179,7.575428647213947,0.08016166688318771,0.14843592738613356
1773,23,99,179,7.5505274282528205,0.07199442508172371,0.25574460988683867
1774,20,94,178,7.546798037750821,0.12648479327664586,0.49525026898160596
