instance_id,n,family,capacity_mode,capacity,seed,selected_count,solution_density,residual_capacity,capacity_utilization,last_selected_position,first_skipped_position
70,20,Uncorrelated,fixed,1000,42,6,0.300000,183,0.817000,5,6
71,20,Uncorrelated,fixed,1000,42,6,0.300000,99,0.901000,6,5
72,20,Uncorrelated,fixed,1000,42,6,0.300000,258,0.742000,5,6
73,20,Uncorrelated,fixed,1000,42,9,0.450000,217,0.783000,19,8
74,20,Uncorrelated,fixed,1000,42,6,0.300000,94,0.906000,5,6
75,20,Uncorrelated,fixed,1000,42,5,0.250000,72,0.928000,4,5
76,20,Uncorrelated,fixed,1000,42,4,0.200000,83,0.917000,17,3
77,20,Uncorrelated,fixed,1000,42,4,0.200000,41,0.959000,10,3
78,20,Uncorrelated,fixed,1000,42,4,0.200000,312,0.688000,16,3
79,20,Uncorrelated,fixed,1000,42,5,0.250000,35,0.965000,4,5
80,20,Uncorrelated,fixed,1000,42,7,0.350000,45,0.955000,18,6
81,20,Uncorrelated,fixed,1000,42,5,0.250000,97,0.903000,5,4
82,20,Uncorrelated,fixed,1000,42,3,0.150000,221,0.779000,2,3
83,20,Uncorrelated,fixed,1000,42,4,0.200000,97,0.903000,3,4
84,20,Uncorrelated,fixed,1000,42,4,0.200000,115,0.885000,19,3
85,20,Uncorrelated,fixed,1000,42,5,0.250000,66,0.934000,4,5
86,20,Uncorrelated,fixed,1000,42,7,0.350000,27,0.973000,7,6
87,20,Uncorrelated,fixed,1000,42,6,0.300000,253,0.747000,16,5
88,20,Uncorrelated,fixed,1000,42,6,0.300000,132,0.868000,5,6
89,20,Uncorrelated,fixed,1000,42,5,0.250000,26,0.974000,7,4
90,20,Uncorrelated,fixed,1000,42,4,0.200000,30,0.970000,3,4
91,20,Uncorrelated,fixed,1000,42,5,0.250000,69,0.931000,9,4
92,20,Uncorrelated,fixed,1000,42,6,0.300000,17,0.983000,5,6
93,20,Uncorrelated,fixed,1000,42,5,0.250000,46,0.954000,14,4
94,20,Uncorrelated,fixed,1000,42,8,0.400000,19,0.981000,17,7
95,20,Uncorrelated,fixed,1000,42,6,0.300000,57,0.943000,9,5
96,20,Uncorrelated,fixed,1000,42,6,0.300000,53,0.947000,5,6
97,20,Uncorrelated,fixed,1000,42,5,0.250000,89,0.911000,4,5
98,20,Uncorrelated,fixed,1000,42,4,0.200000,13,0.987000,3,4
99,20,Uncorrelated,fixed,1000,42,5,0.250000,22,0.978000,14,4
100,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,94,0.906000,10,4
101,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,121,0.879000,3,4
102,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,256,0.744000,19,3
103,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,26,0.974000,19,3
104,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,8,0.992000,5,4
105,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,56,0.944000,14,4
106,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,7,0.993000,18,1
107,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,36,0.964000,17,3
108,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,12,0.988000,6,2
109,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,60,0.940000,16,2
110,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,52,0.948000,4,3
111,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,4,0.996000,18,2
112,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,130,0.870000,19,2
113,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,64,0.936000,5,3
114,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,123,0.877000,19,3
115,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,1,0.999000,17,2
116,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,21,0.979000,18,3
117,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,74,0.926000,18,3
118,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,106,0.894000,3,4
119,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,14,0.986000,11,3
120,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,6,0.994000,18,1
121,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,88,0.912000,19,3
122,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,38,0.962000,16,2
123,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,30,0.970000,19,4
124,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,80,0.920000,19,5
125,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,67,0.933000,3,4
126,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,13,0.987000,3,4
127,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,34,0.966000,19,3
128,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,148,0.852000,4,3
129,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,94,0.906000,19,3
130,20,WeaklyCorrelated,fixed,1000,42,2,0.100000,4,0.996000,7,1
131,20,WeaklyCorrelated,fixed,1000,42,8,0.400000,18,0.982000,19,7
132,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,2,0.998000,19,4
133,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,106,0.894000,19,3
134,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,9,0.991000,18,3
135,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,10,0.990000,18,3
136,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,15,0.985000,19,3
137,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,42,0.958000,2,3
138,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,32,0.968000,8,6
139,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,51,0.949000,19,3
140,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,129,0.871000,4,5
141,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,161,0.839000,16,3
142,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,5,0.995000,7,2
143,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,112,0.888000,19,3
144,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,44,0.956000,19,2
145,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,37,0.963000,3,2
146,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,46,0.954000,19,6
147,20,WeaklyCorrelated,fixed,1000,42,8,0.400000,265,0.735000,19,5
148,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,0,1.000000,19,3
149,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,4,0.996000,19,3
150,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,8,0.992000,18,3
151,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,20,0.980000,19,3
152,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,62,0.938000,6,3
153,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,33,0.967000,4,3
154,20,WeaklyCorrelated,fixed,1000,42,8,0.400000,3,0.997000,10,7
155,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,174,0.826000,7,2
156,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,70,0.930000,9,3
157,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,21,0.979000,19,3
158,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,57,0.943000,19,2
159,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,33,0.967000,19,6
160,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,9,0.991000,6,4
161,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,99,0.901000,18,3
162,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,12,0.988000,15,3
163,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,140,0.860000,5,3
164,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,199,0.801000,19,4
165,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,0,1.000000,17,3
166,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,63,0.937000,7,4
167,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,65,0.935000,19,4
168,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,17,0.983000,14,3
169,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,14,0.986000,15,4
170,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,103,0.897000,16,2
171,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,96,0.904000,4,2
172,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,34,0.966000,18,4
173,20,WeaklyCorrelated,fixed,1000,42,2,0.100000,58,0.942000,2,1
174,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,12,0.988000,17,3
175,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,75,0.925000,13,2
176,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,18,0.982000,18,5
177,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,4,0.996000,17,6
178,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,46,0.954000,17,4
179,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,48,0.952000,14,4
180,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,21,0.979000,18,2
181,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,62,0.938000,19,4
182,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,134,0.866000,19,3
183,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,13,0.987000,4,5
184,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,50,0.950000,6,3
185,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,55,0.945000,19,3
186,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,263,0.737000,19,2
187,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,100,0.900000,12,2
188,20,WeaklyCorrelated,fixed,1000,42,2,0.100000,44,0.956000,2,1
189,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,99,0.901000,19,3
190,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,48,0.952000,5,4
191,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,29,0.971000,2,3
192,20,WeaklyCorrelated,fixed,1000,42,7,0.350000,26,0.974000,18,4
193,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,87,0.913000,19,4
194,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,10,0.990000,2,3
195,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,159,0.841000,6,4
196,20,WeaklyCorrelated,fixed,1000,42,4,0.200000,17,0.983000,5,3
197,20,WeaklyCorrelated,fixed,1000,42,6,0.300000,2,0.998000,18,4
198,20,WeaklyCorrelated,fixed,1000,42,5,0.250000,41,0.959000,4,5
199,20,WeaklyCorrelated,fixed,1000,42,3,0.150000,46,0.954000,4,2
200,20,StronglyCorrelated,fixed,1000,42,6,0.300000,108,0.892000,5,6
201,20,StronglyCorrelated,fixed,1000,42,6,0.300000,227,0.773000,5,6
202,20,StronglyCorrelated,fixed,1000,42,6,0.300000,76,0.924000,5,6
203,20,StronglyCorrelated,fixed,1000,42,5,0.250000,333,0.667000,4,5
204,20,StronglyCorrelated,fixed,1000,42,5,0.250000,393,0.607000,4,5
205,20,StronglyCorrelated,fixed,1000,42,4,0.200000,1,0.999000,11,3
206,20,StronglyCorrelated,fixed,1000,42,6,0.300000,64,0.936000,5,6
207,20,StronglyCorrelated,fixed,1000,42,6,0.300000,58,0.942000,5,6
208,20,StronglyCorrelated,fixed,1000,42,6,0.300000,127,0.873000,5,6
209,20,StronglyCorrelated,fixed,1000,42,6,0.300000,32,0.968000,7,5
210,20,StronglyCorrelated,fixed,1000,42,5,0.250000,0,1.000000,4,5
211,20,StronglyCorrelated,fixed,1000,42,6,0.300000,45,0.955000,5,6
212,20,StronglyCorrelated,fixed,1000,42,5,0.250000,37,0.963000,16,4
213,20,StronglyCorrelated,fixed,1000,42,5,0.250000,25,0.975000,4,5
214,20,StronglyCorrelated,fixed,1000,42,5,0.250000,95,0.905000,4,5
215,20,StronglyCorrelated,fixed,1000,42,4,0.200000,178,0.822000,5,3
216,20,StronglyCorrelated,fixed,1000,42,5,0.250000,29,0.971000,4,5
217,20,StronglyCorrelated,fixed,1000,42,6,0.300000,15,0.985000,6,4
218,20,StronglyCorrelated,fixed,1000,42,5,0.250000,255,0.745000,4,5
219,20,StronglyCorrelated,fixed,1000,42,7,0.350000,65,0.935000,7,6
220,20,StronglyCorrelated,fixed,1000,42,3,0.150000,14,0.986000,2,3
221,20,StronglyCorrelated,fixed,1000,42,6,0.300000,111,0.889000,5,6
222,20,StronglyCorrelated,fixed,1000,42,5,0.250000,30,0.970000,8,4
223,20,StronglyCorrelated,fixed,1000,42,5,0.250000,73,0.927000,4,5
224,20,StronglyCorrelated,fixed,1000,42,7,0.350000,64,0.936000,7,6
225,20,StronglyCorrelated,fixed,1000,42,7,0.350000,72,0.928000,7,6
226,20,StronglyCorrelated,fixed,1000,42,4,0.200000,110,0.890000,16,3
227,20,StronglyCorrelated,fixed,1000,42,4,0.200000,169,0.831000,3,4
228,20,StronglyCorrelated,fixed,1000,42,6,0.300000,40,0.960000,6,5
229,20,StronglyCorrelated,fixed,1000,42,6,0.300000,12,0.988000,5,6
230,20,StronglyCorrelated,fixed,1000,42,5,0.250000,97,0.903000,4,5
231,20,StronglyCorrelated,fixed,1000,42,8,0.400000,14,0.986000,9,7
232,20,StronglyCorrelated,fixed,1000,42,5,0.250000,94,0.906000,4,5
233,20,StronglyCorrelated,fixed,1000,42,7,0.350000,5,0.995000,6,7
234,20,StronglyCorrelated,fixed,1000,42,7,0.350000,150,0.850000,6,7
235,20,StronglyCorrelated,fixed,1000,42,6,0.300000,37,0.963000,10,4
236,20,StronglyCorrelated,fixed,1000,42,8,0.400000,2,0.998000,18,7
237,20,StronglyCorrelated,fixed,1000,42,4,0.200000,248,0.752000,3,4
238,20,StronglyCorrelated,fixed,1000,42,7,0.350000,99,0.901000,8,6
239,20,StronglyCorrelated,fixed,1000,42,7,0.350000,61,0.939000,8,6
240,20,StronglyCorrelated,fixed,1000,42,6,0.300000,56,0.944000,5,6
241,20,StronglyCorrelated,fixed,1000,42,4,0.200000,223,0.777000,3,4
242,20,StronglyCorrelated,fixed,1000,42,6,0.300000,9,0.991000,17,5
243,20,StronglyCorrelated,fixed,1000,42,5,0.250000,80,0.920000,4,5
244,20,StronglyCorrelated,fixed,1000,42,6,0.300000,128,0.872000,14,5
245,20,StronglyCorrelated,fixed,1000,42,5,0.250000,67,0.933000,8,4
246,20,StronglyCorrelated,fixed,1000,42,7,0.350000,20,0.980000,16,6
247,20,StronglyCorrelated,fixed,1000,42,6,0.300000,114,0.886000,5,6
248,20,StronglyCorrelated,fixed,1000,42,6,0.300000,33,0.967000,6,5
249,20,StronglyCorrelated,fixed,1000,42,5,0.250000,301,0.699000,4,5
250,20,StronglyCorrelated,fixed,1000,42,5,0.250000,201,0.799000,4,5
251,20,StronglyCorrelated,fixed,1000,42,7,0.350000,33,0.967000,10,5
252,20,StronglyCorrelated,fixed,1000,42,6,0.300000,82,0.918000,5,6
253,20,StronglyCorrelated,fixed,1000,42,6,0.300000,11,0.989000,5,6
254,20,StronglyCorrelated,fixed,1000,42,7,0.350000,5,0.995000,13,6
255,20,StronglyCorrelated,fixed,1000,42,5,0.250000,204,0.796000,4,5
256,20,StronglyCorrelated,fixed,1000,42,6,0.300000,64,0.936000,5,6
257,20,StronglyCorrelated,fixed,1000,42,5,0.250000,173,0.827000,4,5
258,20,StronglyCorrelated,fixed,1000,42,5,0.250000,54,0.946000,4,5
259,20,StronglyCorrelated,fixed,1000,42,3,0.150000,21,0.979000,3,2
260,20,StronglyCorrelated,fixed,1000,42,5,0.250000,13,0.987000,4,5
261,20,StronglyCorrelated,fixed,1000,42,6,0.300000,61,0.939000,11,5
262,20,StronglyCorrelated,fixed,1000,42,5,0.250000,13,0.987000,5,4
263,20,StronglyCorrelated,fixed,1000,42,5,0.250000,27,0.973000,5,4
264,20,StronglyCorrelated,fixed,1000,42,4,0.200000,92,0.908000,3,4
265,20,StronglyCorrelated,fixed,1000,42,4,0.200000,142,0.858000,3,4
266,20,StronglyCorrelated,fixed,1000,42,3,0.150000,95,0.905000,2,3
267,20,StronglyCorrelated,fixed,1000,42,5,0.250000,41,0.959000,4,5
268,20,StronglyCorrelated,fixed,1000,42,6,0.300000,251,0.749000,5,6
269,20,StronglyCorrelated,fixed,1000,42,5,0.250000,100,0.900000,4,5
270,20,StronglyCorrelated,fixed,1000,42,4,0.200000,257,0.743000,3,4
271,20,StronglyCorrelated,fixed,1000,42,4,0.200000,92,0.908000,3,4
272,20,StronglyCorrelated,fixed,1000,42,6,0.300000,70,0.930000,5,6
273,20,StronglyCorrelated,fixed,1000,42,2,0.100000,230,0.770000,1,2
274,20,StronglyCorrelated,fixed,1000,42,6,0.300000,60,0.940000,6,4
275,20,StronglyCorrelated,fixed,1000,42,5,0.250000,35,0.965000,5,4
276,20,StronglyCorrelated,fixed,1000,42,5,0.250000,0,1.000000,4,5
277,20,StronglyCorrelated,fixed,1000,42,6,0.300000,167,0.833000,5,6
278,20,StronglyCorrelated,fixed,1000,42,6,0.300000,16,0.984000,5,6
279,20,StronglyCorrelated,fixed,1000,42,6,0.300000,22,0.978000,5,6
280,20,StronglyCorrelated,fixed,1000,42,5,0.250000,111,0.889000,8,4
281,20,StronglyCorrelated,fixed,1000,42,8,0.400000,199,0.801000,8,6
282,20,StronglyCorrelated,fixed,1000,42,5,0.250000,223,0.777000,17,4
283,20,StronglyCorrelated,fixed,1000,42,7,0.350000,98,0.902000,8,6
284,20,StronglyCorrelated,fixed,1000,42,4,0.200000,82,0.918000,3,4
285,20,StronglyCorrelated,fixed,1000,42,6,0.300000,54,0.946000,5,6
286,20,StronglyCorrelated,fixed,1000,42,7,0.350000,225,0.775000,6,7
287,20,StronglyCorrelated,fixed,1000,42,7,0.350000,21,0.979000,6,7
288,20,StronglyCorrelated,fixed,1000,42,4,0.200000,109,0.891000,6,3
289,20,StronglyCorrelated,fixed,1000,42,3,0.150000,158,0.842000,2,3
290,20,StronglyCorrelated,fixed,1000,42,5,0.250000,89,0.911000,6,4
291,20,StronglyCorrelated,fixed,1000,42,7,0.350000,106,0.894000,6,7
292,20,StronglyCorrelated,fixed,1000,42,4,0.200000,179,0.821000,3,4
293,20,StronglyCorrelated,fixed,1000,42,6,0.300000,165,0.835000,5,6
294,20,StronglyCorrelated,fixed,1000,42,4,0.200000,43,0.957000,15,3
295,20,StronglyCorrelated,fixed,1000,42,6,0.300000,36,0.964000,6,5
296,20,StronglyCorrelated,fixed,1000,42,4,0.200000,17,0.983000,6,3
297,20,StronglyCorrelated,fixed,1000,42,5,0.250000,220,0.780000,4,5
298,20,StronglyCorrelated,fixed,1000,42,6,0.300000,17,0.983000,5,6
299,20,StronglyCorrelated,fixed,1000,42,5,0.250000,8,0.992000,4,5
300,20,InverseCorrelated,fixed,1000,42,4,0.200000,294,0.706000,3,4
301,20,InverseCorrelated,fixed,1000,42,5,0.250000,322,0.678000,4,5
302,20,InverseCorrelated,fixed,1000,42,7,0.350000,45,0.955000,6,7
303,20,InverseCorrelated,fixed,1000,42,7,0.350000,78,0.922000,6,7
304,20,InverseCorrelated,fixed,1000,42,5,0.250000,22,0.978000,4,5
305,20,InverseCorrelated,fixed,1000,42,5,0.250000,238,0.762000,4,5
306,20,InverseCorrelated,fixed,1000,42,5,0.250000,7,0.993000,4,5
307,20,InverseCorrelated,fixed,1000,42,4,0.200000,285,0.715000,3,4
308,20,InverseCorrelated,fixed,1000,42,6,0.300000,260,0.740000,5,6
309,20,InverseCorrelated,fixed,1000,42,6,0.300000,34,0.966000,5,6
310,20,InverseCorrelated,fixed,1000,42,6,0.300000,55,0.945000,5,6
311,20,InverseCorrelated,fixed,1000,42,8,0.400000,12,0.988000,7,8
312,20,InverseCorrelated,fixed,1000,42,6,0.300000,58,0.942000,5,6
313,20,InverseCorrelated,fixed,1000,42,6,0.300000,144,0.856000,5,6
