instance_id,n,family,capacity_mode,capacity,seed,capacity_density,cells_allocated,total_evaluations,include_count,exclude_count,tie_count,include_ratio,nonzero_value_states,zero_value_states,fill_rate,optimal_value,mean_cell_value,cell_value_variance,sum_improvement_amount,mean_improvement_amount,updates_per_cell
1404,100,AlmostEqualRatios,scaled,26586,42,265.8600,26587,2605527,1550962,1025059,29506,0.595258,26578,9,0.999661,28155,14301.9877,66386311.3750,380246948,245.1684,58.335352
1405,100,AlmostEqualRatios,scaled,24388,42,243.8800,24389,2390124,1447499,913105,29520,0.605617,24378,11,0.999549,25361,12898.9091,53608386.7194,314591493,217.3345,59.350486
1406,100,AlmostEqualRatios,scaled,24298,42,242.9800,24299,2381304,1394409,949795,37100,0.585565,24295,4,0.999835,25294,12898.5872,53402234.0860,313422770,224.7710,57.385448
1407,100,AlmostEqualRatios,scaled,26480,42,264.8000,26481,2595139,1512153,1053691,29295,0.582687,26476,5,0.999811,27683,14057.0086,63805340.8213,372243645,246.1680,57.103319
1408,100,AlmostEqualRatios,scaled,26825,42,268.2500,26826,2628949,1401700,1205359,21890,0.533179,26804,22,0.999180,28222,14307.9881,66400691.9502,383826089,273.8290,52.251547
1409,100,AlmostEqualRatios,scaled,25238,42,252.3800,25239,2473424,1370207,1074527,28690,0.553972,25209,30,0.998811,26409,13414.3443,58082601.3592,338564635,247.0901,54.289275
1410,100,AlmostEqualRatios,scaled,26067,42,260.6700,26068,2554665,1395196,1129420,30049,0.546137,26060,8,0.999693,27644,14018.0056,63809764.1604,365421369,261.9140,53.521406
1411,100,AlmostEqualRatios,scaled,25193,42,251.9300,25194,2469014,1266448,1169087,33479,0.512937,25186,8,0.999682,26469,13444.8800,58514576.3317,338730307,267.4648,50.267842
1412,100,AlmostEqualRatios,scaled,25219,42,252.1900,25220,2471561,1359612,1090329,21620,0.550103,25210,10,0.999603,26288,13367.6896,57701992.5556,337133131,247.9628,53.910071
1413,100,AlmostEqualRatios,scaled,24791,42,247.9100,24792,2429618,1312941,1067277,49400,0.540390,24788,4,0.999839,25716,13065.2588,55051278.2512,323913897,246.7086,52.958253
1414,100,AlmostEqualRatios,scaled,20688,42,206.8800,20689,2027523,1062381,931578,33564,0.523980,20673,16,0.999227,21859,11088.4031,39865278.4312,229407972,215.9376,51.350041
1415,100,AlmostEqualRatios,scaled,25672,42,256.7200,25673,2515956,1488007,987268,40681,0.591428,25658,15,0.999416,27125,13754.5750,61439174.7585,353121203,237.3115,57.959997
