algorithm,var_a,var_b,correlation
Greedy,n,unique_weights,0.8646752389731782
Greedy,n,unique_values,0.865304217477955
Greedy,n,unique_pairs,0.8850652713584389
Greedy,n,duplicate_items,0.5810631153912573
Greedy,n,duplicate_pairs,0.5797359352291738
Greedy,n,time_millis,0.7644323653837707
Greedy,n,memory_bytes,-0.007785177621500407
Greedy,n,memory_mb,-0.007704986550828255
Greedy,n,solution_value,0.6036132805461502
Greedy,n,optimality_gap,-0.22636376381064163
Greedy,n,nodes_generated,0.5616596914380786
Greedy,n,internal_nodes,0.5488173282385111
Greedy,n,max_depth,0.8839838467212954
Greedy,n,mean_depth,0.802517869941855
Greedy,n,median_depth,0.7891091328097437
Greedy,n,mean_queue_size,0.5238424409305786
Greedy,n,final_queue_size,0.2960291830921995
Greedy,n,mean_bound,0.6035615760252301
Greedy,n,bound_variance,-0.22239606767523634
Greedy,n,min_bound,0.6039189396847712
Greedy,n,max_bound,0.6035654003308277
Greedy,n,mean_bound_gap,0.035752738424907594
Greedy,n,bound_gap_variance,0.1395407949541485
Greedy,n,pruned_by_bound,-0.008608492444722777
Greedy,n,pruned_by_cap,0.2965633174851107
Greedy,n,left_branches,0.49786911184520866
Greedy,n,right_branches,0.5541609072697932
Greedy,n,explored_children,0.5587811853328539
Greedy,n,skipped_children,0.4987934062611494
Greedy,n,skipped_infeasible,0.4320011522365736
Greedy,n,skipped_by_bound,0.1451444229955286
Greedy,n,improvement_count,0.6251010440301401
Greedy,n,sum_improvement_amount,0.4055079217651668
Greedy,n,mean_improvement_amount,-0.0009327061870073836
Greedy,n,last_improvement_node,0.21266205918113107
Greedy,n,pruned_generated_ratio,0.016879690462347455
Greedy,n,avg_branching_factor,0.24755455041125446
Greedy,n,capacity_density,-0.0432858496869316
Greedy,n,cells_allocated,0.29196029722198624
Greedy,n,total_evaluations,0.5947140046832406
Greedy,n,include_count,0.44189446856810144
Greedy,n,exclude_count,0.6613214454964221
Greedy,n,tie_count,0.4065330482464084
Greedy,n,include_ratio,-0.2439949198131573
Greedy,n,nonzero_value_states,0.29382578115766245
Greedy,n,zero_value_states,-0.643105221336301
Greedy,n,fill_rate,0.2869059724609394
Greedy,n,mean_cell_value,0.5644852430486531
Greedy,n,cell_value_variance,0.6123460428847854
Greedy,n,dp_sum_improvement_amount,0.3573162366331343
Greedy,n,dp_mean_improvement_amount,-0.13636522939877888
Greedy,n,updates_per_cell,0.6215096855615566
Greedy,n,selected_count,0.6292028770660152
Greedy,n,solution_density,-0.11219414461562387
Greedy,n,residual_capacity,-0.1454292020747417
Greedy,n,capacity_utilization,0.3141207925966709
Greedy,n,last_selected_position,0.7353886846197251
Greedy,n,first_skipped_position,0.6275327224500529
Greedy,n,log_time_millis,0.8037313736798066
Greedy,n,AlmostEqualRatios,8.053756320281227e-17
Greedy,n,InverseCorrelated,-1.5669957118917312e-16
Greedy,n,StronglyCorrelated,2.2923807251191e-16
Greedy,n,WeaklyCorrelated,1.9860918599674881e-16
Greedy,n,log_n,0.8926327822256555
Greedy,total_weight,total_value,0.998116559380473
Greedy,total_weight,mean_weight,0.04766172271548054
Greedy,total_weight,mean_value,0.029099404748338806
Greedy,total_weight,median_weight,0.044885534174080435
Greedy,total_weight,median_value,0.044656191553243005
Greedy,total_weight,std_weight,0.17334810904861853
Greedy,total_weight,std_value,0.16291829576158431
Greedy,total_weight,min_weight,-0.5290094110304987
Greedy,total_weight,max_weight,0.5554467627739182
Greedy,total_weight,min_value,-0.49290047659043096
Greedy,total_weight,max_value,0.48883175720656513
Greedy,total_weight,weight_cv,0.015010387422292099
Greedy,total_weight,value_cv,0.021328913819404664
Greedy,total_weight,weight_skewness,-0.03820921552434654
Greedy,total_weight,value_skewness,-0.01670545050048542
Greedy,total_weight,weight_kurtosis,-0.2355494027457473
Greedy,total_weight,value_kurtosis,-0.2035421060791444
Greedy,total_weight,capacity_ratio,-0.06464995258460317
Greedy,total_weight,slack,0.9709711695619664
Greedy,total_weight,average_fillable_items,0.3245400227975114
Greedy,total_weight,pearson_corr,-0.002922527439338865
Greedy,total_weight,spearman_corr,0.02422182591061744
Greedy,total_weight,kendall_corr,-0.024414117894485263
Greedy,total_weight,mean_ratio,-0.019749010170124228
Greedy,total_weight,median_ratio,-0.07172851507661282
Greedy,total_weight,std_ratio,0.10221902539401054
Greedy,total_weight,ratio_entropy,-0.319239031582103
Greedy,total_weight,unique_ratio_count,0.9964773125106209
Greedy,total_weight,duplicate_ratio_fraction,0.4946982533863984
Greedy,total_weight,unique_weights,0.9966048687475926
Greedy,total_weight,unique_values,0.9967256197705915
Greedy,total_weight,unique_pairs,0.996254520585926
