cv_scheme,algorithm,response,model,r_squared_mean,r_squared_sd,r_squared_ci_lower,r_squared_ci_upper,adj_r_squared_mean,adj_r_squared_sd,adj_r_squared_ci_lower,adj_r_squared_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,n,p,r_squared,adj_r_squared,rmse,mae
LOFO,Greedy,log_time_millis,M1,-4.657152240149621,12.050756267092131,-19.620142448126305,10.305837967827063,-4.7070997688623155,12.157153526545116,-19.802199623409315,10.388000085684684,2.0112219213036466,2.9180456072199834,-1.612010254298049,5.634454096905342,1.8951142809158612,2.9644863970087183,-1.785781751414655,5.576010313246377,6000,42,,,,
LOFO,Greedy,log_time_millis,M2,-5.068941072173546,13.021418374147409,-21.237167472901376,11.099285328554283,-5.128966373181996,13.150207655204845,-21.457105787553388,11.199173041189397,2.0498836559472546,3.0505043489169186,-1.7378177704668962,5.8375850823614055,1.9408681496453384,3.094986100302105,-1.9020646660408493,5.783800965331526,6000,47,,,,
5-fold,Greedy,log_time_millis,M1,0.8549645318188677,0.013625781483256931,0.8380458895037161,0.8718831741340193,0.8536840000417797,0.01374608478834346,0.8366159814438372,0.8707520186397222,0.5449372362675712,0.024492188416444714,0.5145261676736486,0.5753483048614938,0.4105773705682762,0.013506669199263093,0.39380662568790353,0.42734811544864887,6000,42,,,,
5-fold,Greedy,log_time_millis,M2,0.8563775074859616,0.013659853115298251,0.8394165596519443,0.873338455319979,0.8549569988268372,0.013794956881379685,0.8378282975104547,0.8720857001432196,0.5422606649298756,0.024424574410904162,0.5119335502124069,0.5725877796473442,0.40959391283019525,0.013978172281165779,0.3922377195479819,0.4269501061124086,6000,47,,,,
full_sample,Greedy,log_time_millis,M1,,,,,,,,,,,,,,,,,6000,42,0.8572984635980492,0.8562923423073187,0.5411664741604639,0.4075392093787444
full_sample,Greedy,log_time_millis,M2,,,,,,,,,,,,,,,,,6000,47,0.8588109608644257,0.8576960608578108,0.538290915621538,0.40639024927784295
